Zone,District,Upazilla,Union,THACODE,Mouza,Village,Weight
West,Khulna,Batiaghata,  Amirpur Union Total,404712,*Amirpur,Amirpur,0.00529499
West,Khulna,Batiaghata,  Amirpur Union Total,404712,*Arazi Narayanpur,Arazi Narayanpur,0.0072795
West,Khulna,Batiaghata,  Amirpur Union Total,404712,*Char Hadirabad,Char Hadirabad,0.005667498
West,Khulna,Batiaghata,  Amirpur Union Total,404712,*Datta Para,Datta Para,0.006979011
West,Khulna,Batiaghata,  Amirpur Union Total,404712,*Hadirabad,Hadirabad,0.006651102
West,Khulna,Batiaghata,  Amirpur Union Total,404712,*Hasimpur,Hasimpur,0.006753347
West,Khulna,Batiaghata,  Amirpur Union Total,404712,*Joypurdanga,Joypurdanga,0.00720482
West,Khulna,Batiaghata,  Amirpur Union Total,404712,*Karerdhone,Karerdhone,0.005003133
West,Khulna,Batiaghata,  Amirpur Union Total,404712,*Karia,Karia,0.006808158
West,Khulna,Batiaghata,  Amirpur Union Total,404712,*Kariabhita,Kariabhita,0.004792714
West,Khulna,Batiaghata,  Amirpur Union Total,404712,*Khanrabad,Khanrabad,0.004972885
West,Khulna,Batiaghata,  Amirpur Union Total,404712,*Kismat Kurighata,Kismat Kurighata,0.005798718
West,Khulna,Batiaghata,  Amirpur Union Total,404712,*Masidghata,Masidghata,0.005414061
West,Khulna,Batiaghata,  Amirpur Union Total,404712,*Narayankhali,Narayankhali,0.005776144
West,Khulna,Batiaghata,  Amirpur Union Total,404712,*Narayanpur,Narayanpur,0.00525475
West,Khulna,Batiaghata,  Amirpur Union Total,404712,*Nijgram,Nijgram,0.005175576
West,Khulna,Batiaghata,  Amirpur Union Total,404712,*Rambhadrapur,Rambhadrapur,0.006546653
West,Khulna,Batiaghata,  Amirpur Union Total,404712,*Shyamganj,Shyamganj,0.00561652
West,Khulna,Batiaghata,  Amirpur Union Total,404712,*Tala Para,Tala Para,0.006073941
West,Khulna,Batiaghata,  Baliadanga Union Total,404712,*Baliadanga,Baliadanga,0.005123905
West,Khulna,Batiaghata,  Baliadanga Union Total,404712,*Bhadail,Bhadail,0.005280004
West,Khulna,Batiaghata,  Baliadanga Union Total,404712,*Birat,Birat,0.005198565
West,Khulna,Batiaghata,  Baliadanga Union Total,404712,*Bujbunia,Bujbunia,0.004761324
West,Khulna,Batiaghata,  Baliadanga Union Total,404712,*Dhadua,Dhadua,0.005256868
West,Khulna,Batiaghata,  Baliadanga Union Total,404712,*Ghoshkhali,Ghoshkhali,0.006928394
West,Khulna,Batiaghata,  Baliadanga Union Total,404712,*Hatbaria,Hatbaria,0.005945132
West,Khulna,Batiaghata,  Baliadanga Union Total,404712,*Jalia Para,Jalia Para,0.005331249
West,Khulna,Batiaghata,  Baliadanga Union Total,404712,*Jhalbaridanga,Jhalbaridanga,0.005061907
West,Khulna,Batiaghata,  Baliadanga Union Total,404712,*Kadamtala,Kadamtala,0.006542824
West,Khulna,Batiaghata,  Baliadanga Union Total,404712,*Kismat Solakura,Kismat Solakura,0.007289929
West,Khulna,Batiaghata,  Baliadanga Union Total,404712,*Noapakhia,Noapakhia,0.007371505
West,Khulna,Batiaghata,  Baliadanga Union Total,404712,*Phulbati,Phulbati,0.005195403
West,Khulna,Batiaghata,  Baliadanga Union Total,404712,*Ranjiter Hula,Ranjiter Hula,0.005506178
West,Khulna,Batiaghata,  Baliadanga Union Total,404712,*Solakura,Solakura,0.006264609
West,Khulna,Batiaghata,  Baliadanga Union Total,404712,*Talbuniar Hula,Talbuniar Hula,0.006486458
West,Khulna,Batiaghata,  Baliadanga Union Total,404712,*Taliamara,Taliamara,0.005040867
West,Khulna,Batiaghata,  Batiaghata Union,404712,*Auskhali,Auskhali,0.005981924
West,Khulna,Batiaghata,  Batiaghata Union,404712,*Baguladanga Patharghata,Patharghata,0.006065975
West,Khulna,Batiaghata,  Batiaghata Union,404712,*Baguladanga Patharghata,Baguladanga,0.007549493
West,Khulna,Batiaghata,  Batiaghata Union,404712,*Batiaghata,Batiaghata,0.005503722
West,Khulna,Batiaghata,  Batiaghata Union,404712,*Balabunia,Balabunia,0.005075186
West,Khulna,Batiaghata,  Batiaghata Union,404712,*Baruirabad,Baruirabad,0.006954635
West,Khulna,Batiaghata,  Batiaghata Union,404712,*Bherandabunia,Bherandabunia,0.005957042
West,Khulna,Batiaghata,  Batiaghata Union,404712,*Chak Solemari,Chak Solemari,0.004978614
West,Khulna,Batiaghata,  Batiaghata Union,404712,*Hetalbunia,Hetalbunia,0.004892753
West,Khulna,Batiaghata,  Batiaghata Union,404712,*Hatbati (Baro),Hatbati (Baro),0.004817839
West,Khulna,Batiaghata,  Batiaghata Union,404712,*Hogolbunia,Hogolbunia,0.004790626
West,Khulna,Batiaghata,  Batiaghata Union,404712,*Khalsibunia,Khalsibunia,0.005265954
West,Khulna,Batiaghata,  Batiaghata Union,404712,*Kismat Phultala,Kismat Phultala,0.004926662
West,Khulna,Batiaghata,  Batiaghata Union,404712,*Madia Asannagar,Madia Asannagar,0.005231802
West,Khulna,Batiaghata,  Batiaghata Union,404712,*Mailmara,Mailmara,0.005255825
West,Khulna,Batiaghata,  Batiaghata Union,404712,*Mathbhanga,Mathbhanga,0.004928836
West,Khulna,Batiaghata,  Batiaghata Union,404712,*Par Batiaghata,Par Batiaghata,0.005119145
West,Khulna,Batiaghata,  Batiaghata Union,404712,*Phultala,Phultala,0.005019574
West,Khulna,Batiaghata,  Bhanderkote Union Total,404712,*Arazi Lakshmikhola,Arazi Lakshmikhola,0.005966471
West,Khulna,Batiaghata,  Bhanderkote Union Total,404712,*Bhadganti,Bhadganti,0.005045958
